,hex_name,short_name,polys,lines,centroids,label_loc,long,lat
0,83bc28fffffffff,83bc28,"POLYGON ((-35.92756820732809 30.3017471035805, -35.34492923622851 30.33784697449169, -35.03094416107833 29.686765490123022, -35.29960371281169 28.997682438598016, -35.8823263680477 28.957417996237595, -36.19633951066121 29.610390068998264, -35.92756820732809 30.3017471035805))","LINESTRING (-35.92756820732809 30.3017471035805, -35.34492923622851 30.33784697449169, -35.03094416107833 29.686765490123022, -35.29960371281169 28.997682438598016, -35.8823263680477 28.957417996237595, -36.19633951066121 29.610390068998264, -35.92756820732809 30.3017471035805)",POINT (-35.613926995149704 29.648613565265606),"(-35.61366323503268, 29.648577779560643)",-35.61366323503268,29.648577779560643
1,83bda8fffffffff,83bda8,"POLYGON ((-35.82893599862627 39.6124058615142, -35.25226179143194 39.61913713589824, -34.99151015326918 38.97201867033209, -35.30825837132195 38.31372805197831, -35.88634664767276 38.30287312154801, -36.14630283970786 38.954445335322355, -35.82893599862627 39.6124058615142))","LINESTRING (-35.82893599862627 39.6124058615142, -35.25226179143194 39.61913713589824, -34.99151015326918 38.97201867033209, -35.30825837132195 38.31372805197831, -35.88634664767276 38.30287312154801, -36.14630283970786 38.954445335322355, -35.82893599862627 39.6124058615142)",POINT (-35.56925806746896 38.96200878256606),"(-35.56890130528145, 38.963232002827226)",-35.56890130528145,38.963232002827226
2,83bdaefffffffff,83bdae,"POLYGON ((-35.75783952190213 40.91156189780488, -35.18275777900152 40.914227408996545, -34.929482715894395 40.27038195319174, -35.25226179143194 39.61913713589824, -35.82893599862627 39.6124058615142, -36.0812678116327 40.26100102365323, -35.75783952190213 40.91156189780488))","LINESTRING (-35.75783952190213 40.91156189780488, -35.18275777900152 40.914227408996545, -34.929482715894395 40.27038195319174, -35.25226179143194 39.61913713589824, -35.82893599862627 39.6124058615142, -36.0812678116327 40.26100102365323, -35.75783952190213 40.91156189780488)",POINT (-35.50574998833887 40.26430979762042),"(-35.50537170136384, 40.26569148842248)",-35.50537170136384,40.26569148842248
3,83aa93fffffffff,83aa93,"POLYGON ((-35.23183189300374 66.50312006532391, -35.88004754183496 66.63616862007207, -36.11769777979573 67.40622136664614, -35.70493980448009 68.03764222402837, -35.05662636549633 67.89619866338975, -34.821129434225696 67.13168019836745, -35.23183189300374 66.50312006532391))","LINESTRING (-35.23183189300374 66.50312006532391, -35.88004754183496 66.63616862007207, -36.11769777979573 67.40622136664614, -35.70493980448009 68.03764222402837, -35.05662636549633 67.89619866338975, -34.821129434225696 67.13168019836745, -35.23183189300374 66.50312006532391)",POINT (-35.46958414370616 67.2687285158547),"(-35.469373626105636, 67.26895078250679)",-35.469373626105636,67.26895078250679
4,83bda3fffffffff,83bda3,"POLYGON ((-35.67344146860028 42.19914527455289, -35.10012606201224 42.197814230532906, -34.85422232638619 41.557857653480134, -35.18275777900152 40.914227408996545, -35.75783952190213 40.91156189780488, -36.002647449268224 41.55654183039172, -35.67344146860028 42.19914527455289))","LINESTRING (-35.67344146860028 42.19914527455289, -35.10012606201224 42.197814230532906, -34.85422232638619 41.557857653480134, -35.18275777900152 40.914227408996545, -35.75783952190213 40.91156189780488, -36.002647449268224 41.55654183039172, -35.67344146860028 42.19914527455289)",POINT (-35.42883537164372 41.555667506951615),"(-35.44978761142772, 41.23538461969413)",-35.44978761142772,41.23538461969413
5,83cb1dfffffffff,83cb1d,"POLYGON ((-35.13173700699446 50.86416654073448, -35.76050354642716 50.896868672916185, -36.07946780941043 51.558897182805346, -35.766094760017545 52.18783243486855, -35.13384911422391 52.14697760104693, -34.81843268599627 51.48537866255367, -35.13173700699446 50.86416654073448))","LINESTRING (-35.13173700699446 50.86416654073448, -35.76050354642716 50.896868672916185, -36.07946780941043 51.558897182805346, -35.766094760017545 52.18783243486855, -35.13384911422391 52.14697760104693, -34.81843268599627 51.48537866255367, -35.13173700699446 50.86416654073448)",POINT (-35.44920136916075 51.52421194694596),"(-35.448857436313396, 51.522137922679505)",-35.448857436313396,51.522137922679505
6,83cb0afffffffff,83cb0a,"POLYGON ((-35.13384911422391 52.14697760104693, -35.766094760017545 52.18783243486855, -36.079796477032886 52.861899378313296, -35.75770820680248 53.49429975382835, -35.122224396415376 53.44514074766461, -34.81204150090912 52.771918117892035, -35.13384911422391 52.14697760104693))","LINESTRING (-35.13384911422391 52.14697760104693, -35.766094760017545 52.18783243486855, -36.079796477032886 52.861899378313296, -35.75770820680248 53.49429975382835, -35.122224396415376 53.44514074766461, -34.81204150090912 52.771918117892035, -35.13384911422391 52.14697760104693)",POINT (-35.4461427037169 52.81883157308872),"(-35.44581453932761, 52.81690874810266)",-35.44581453932761,52.81690874810266
7,83cb1cfffffffff,83cb1c,"POLYGON ((-35.1163896167001 49.59769917834991, -35.7414491823909 49.6224205984853, -36.06529787419227 50.271997743967226, -35.76050354642716 50.896868672916185, -35.13173700699446 50.86416654073448, -34.81145152962826 50.21461797620169, -35.1163896167001 49.59769917834991))","LINESTRING (-35.1163896167001 49.59769917834991, -35.7414491823909 49.6224205984853, -36.06529787419227 50.271997743967226, -35.76050354642716 50.896868672916185, -35.13173700699446 50.86416654073448, -34.81145152962826 50.21461797620169, -35.1163896167001 49.59769917834991)",POINT (-35.438655224022014 50.24552145331407),"(-35.43829632485861, 50.24330786008446)",-35.43829632485861,50.24330786008446
8,83cb0bfffffffff,83cb0b,"POLYGON ((-35.122224396415376 53.44514074766461, -35.75770820680248 53.49429975382835, -36.06577826103482 54.179936453332225, -35.73486126784822 54.815169667014686, -35.096392713656634 54.757577551575096, -34.79179794236013 54.07321155126148, -35.122224396415376 53.44514074766461))","LINESTRING (-35.122224396415376 53.44514074766461, -35.75770820680248 53.49429975382835, -36.06577826103482 54.179936453332225, -35.73486126784822 54.815169667014686, -35.096392713656634 54.757577551575096, -34.79179794236013 54.07321155126148, -35.122224396415376 53.44514074766461)",POINT (-35.42898683400558 54.128334405146404),"(-35.428674871118645, 54.12657400229685)",-35.428674871118645,54.12657400229685
9,83cb11fffffffff,83cb11,"POLYGON ((-35.088334798077966 48.34847823820494, -35.70947306097588 48.365409345201726, -36.03782193943474 49.00217782888833, -35.7414491823909 49.6224205984853, -35.1163896167001 49.59769917834991, -34.791606656767314 48.96057387482115, -35.088334798077966 48.34847823820494))","LINESTRING (-35.088334798077966 48.34847823820494, -35.70947306097588 48.365409345201726, -36.03782193943474 49.00217782888833, -35.7414491823909 49.6224205984853, -35.1163896167001 49.59769917834991, -34.791606656767314 48.96057387482115, -35.088334798077966 48.34847823820494)",POINT (-35.41502578764672 48.9837171169305),"(-35.41465308126679, 48.981375851854736)",-35.41465308126679,48.981375851854736
